127.0.0.1 - - [20/Jan/2020:09:46:17 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:46:18 +0530] "GET /EmployeeManagemen/ HTTP/1.1" 404 1030
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:46:28 +0530] "GET /EmployeeManagemen/example1.html HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:46:37 +0530] "GET /EmployeeManagemen/example1.html HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:46:42 +0530] "GET /EmployeeManagemen/example1.html HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:46:43 +0530] "GET /EmployeeManagemen/example1.html HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:46:44 +0530] "GET /EmployeeManagemen/example1.html HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:46:44 +0530] "GET /EmployeeManagemen/example1.html HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:46:47 +0530] "GET /EmployeeManagemen/example1.html HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:46:49 +0530] "GET /EmployeeManagemen/example1.html HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:48:24 +0530] "GET /EmployeeManagemen/employee.html HTTP/1.1" 200 3249
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:48:30 +0530] "GET /EmployeeManagemen/login.html HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:49:01 +0530] "GET /EmployeeManagemen/example1.html HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:49:15 +0530] "GET /EmployeeManagemen/employee.html HTTP/1.1" 200 3254
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:49:17 +0530] "GET /EmployeeManagemen/logindetails.html HTTP/1.1" 200 2452
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:50:44 +0530] "GET /EmployeeManagemen/employee.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:51:16 +0530] "GET /EmployeeManagemen/employee.html HTTP/1.1" 200 3262
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:51:20 +0530] "GET /EmployeeManagemen/employee.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:51:43 +0530] "GET /EmployeeManagemen/employee.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:51:45 +0530] "GET /EmployeeManagemen/register.html HTTP/1.1" 200 2986
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:53:30 +0530] "GET /EmployeeManagemen/employee.html HTTP/1.1" 200 3005
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:55:25 +0530] "GET /EmployeeManagemen/employee.html HTTP/1.1" 200 2909
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:55:28 +0530] "GET /EmployeeManagemen/employee.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:55:44 +0530] "GET /EmployeeManagemen/employee.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:56:21 +0530] "GET /EmployeeManagemen/employee.html HTTP/1.1" 200 2914
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:57:47 +0530] "GET /EmployeeManagemen/employee.html HTTP/1.1" 200 2933
0:0:0:0:0:0:0:1 - - [20/Jan/2020:09:58:43 +0530] "GET /EmployeeManagemen/employee.html HTTP/1.1" 200 2934
